Dataset,Model,HiddenDim,NumLayers,Params,Seed,BestVal,BestTest,BestEpoch,TotalTime,PeakMemoryMB
LRGB,HybridGraphFNet_Peptides,128,4,265998,0,0.5320391230818121,0.5215474266779847,36,4103.753294706345,341.669921875
LRGB,HybridGraphFNet_Peptides,128,4,265998,1,0.5482269271531413,0.5189772891314767,32,3814.754806995392,340.830078125
