Dataset,Model,HiddenDim,NumLayers,Params,Seed,BestVal,BestTest,BestEpoch,TotalTime,PeakMemoryMB
LRGB,LocalOnlyGCN_Batched,200,4,265210,0,0.47274489359480887,0.44168067655690707,99,678.6999554634094,169.943359375
LRGB,LocalOnlyGCN_Batched,200,4,265210,1,0.46597047835524047,0.4398210938579436,99,682.3453524112701,169.873046875
LRGB,LocalOnlyGCN_Batched,200,4,265210,2,0.46699796596809107,0.44157431886701415,98,688.0863630771637,169.8984375
LRGB,SpectralOnly,128,4,199946,0,0.5080071240255558,0.47991607542084747,41,4429.372887372971,218.07275390625
