Dataset,Model,HiddenDim,NumLayers,Params,Seed,BestVal,BestTest,BestEpoch,TotalTime,PeakMemoryMB
LRGB,LocalOnlyGCN_Batched,200,4,265210,0,0.47274489359480887,0.44168067655690707,99,678.6999554634094,169.943359375
LRGB,LocalOnlyGCN_Batched,200,4,265210,1,0.46597047835524047,0.4398210938579436,99,682.3453524112701,169.873046875
